job_id,job_title,job_location,job_schedule_type,salary_year_avg,job_posted_date,company_name
226942,Data Analyst,Anywhere,Full-time,650000,2/20/2023 15:13,Mantys
547382,Director of Analytics,Anywhere,Full-time,336500,8/23/2023 12:04,Meta
552322,Associate Director- Data Insights,Anywhere,Full-time,255829.5,6/18/2023 16:03,AT&T
99305,"Data Analyst, Marketing",Anywhere,Full-time,232423,12/5/2023 20:00,Pinterest Job Advertisements
1021647,Data Analyst (Hybrid/Remote),Anywhere,Full-time,217000,1/17/2023 0:17,Uclahealthcareers
168310,Principal Data Analyst (Remote),Anywhere,Full-time,205000,8/9/2023 11:00,SmartAsset
731368,"Director, Data Analyst - HYBRID",Anywhere,Full-time,189309,12/7/2023 15:00,Inclusively
310660,"Principal Data Analyst, AV Performance Analysis",Anywhere,Full-time,189000,1/5/2023 0:00,Motional
1749593,Principal Data Analyst,Anywhere,Full-time,186000,7/11/2023 16:00,SmartAsset
387860,ERM Data Analyst,Anywhere,Full-time,184000,6/9/2023 8:01,Get It Recruit - Information Technology
